,period,Unnamed: 0,day,Gas Volume (MMscf),flowrate,Gas Lift Inj Volume  (MMscf),Pressure Source _Tubing Pressure,Casing_Pressure_ksia,Tubing_Pressure_ksia,Active_Pressure_ksia,Line_Pressure_ksia,Calculated_Sandface_Pressure_ksia,water_thousand_bbl
EAGLE,EAGLE_205.0_1483.0,3592,0.0,0.157,316.73,0.0,1,0.261668571428571,0.4,0.4,0.014695943,3.0525172745322804,0.197
EAGLE,EAGLE_205.0_1483.0,3593,1.0,0.154,393.412,0.0,1,0.26249142857142904,0.25,0.25,0.014695943,2.7300958034907197,0.08
EAGLE,EAGLE_205.0_1483.0,3594,2.0,0.151,324.598,0.0,1,0.26331428571428594,0.38,0.38,0.014695943,2.85377342705094,0.068
EAGLE,EAGLE_205.0_1483.0,3595,3.0,0.149,390.811,0.0,1,0.26413714285714296,0.28,0.28,0.014695943,2.77732340678859,0.071
EAGLE,EAGLE_205.0_1483.0,3596,4.0,0.148,414.277,0.0,1,0.26496,0.28,0.28,0.014695943,2.82790680612108,0.091
EAGLE,EAGLE_205.0_1483.0,3597,5.0,0.144,434.703,0.0,1,0.265782857142857,0.28,0.28,0.014695943,2.8400015413086197,0.082
EAGLE,EAGLE_205.0_1483.0,3598,6.0,0.143,325.36,0.0,1,0.266605714285714,0.38,0.38,0.014695943,2.86539694697939,0.06
EAGLE,EAGLE_205.0_1483.0,3599,7.0,0.311,816.136,0.0,1,0.267428571428571,0.28,0.28,0.014695943,2.82265262707773,0.183
EAGLE,EAGLE_205.0_1483.0,3600,8.0,0.324,690.615,0.0,1,0.26825142857142903,0.26,0.26,0.014695943,2.68002357788692,0.176
EAGLE,EAGLE_205.0_1483.0,3601,9.0,0.256,720.959,0.0,1,0.26907428571428604,0.18,0.18,0.014695943,2.69795678352841,0.181
EAGLE,EAGLE_205.0_1483.0,3602,10.0,0.218,436.263,0.0,1,0.269897142857143,0.25,0.25,0.014695943,2.6366701182544103,0.127
EAGLE,EAGLE_205.0_1483.0,3603,11.0,0.204,531.52,0.0,1,0.27072,0.2,0.2,0.014695943,2.70822729702932,0.157
EAGLE,EAGLE_205.0_1483.0,3604,12.0,0.192,416.317,0.0,1,0.271542857142857,0.15,0.15,0.014695943,2.48845380344174,0.121
EAGLE,EAGLE_205.0_1483.0,3605,13.0,0.22,743.336,0.194,1,0.272365714285714,0.28,0.28,0.014695943,2.62558474273008,0.219
EAGLE,EAGLE_205.0_1483.0,3606,14.0,0.257,540.599,0.274,1,0.273188571428571,0.3,0.3,0.014695943,2.42801298774631,0.186
EAGLE,EAGLE_205.0_1483.0,3607,15.0,0.241,659.621,0.275,1,0.274011428571429,0.3,0.3,0.014695943,2.5473416780933,0.245
EAGLE,EAGLE_205.0_1483.0,3608,16.0,0.23,510.974,0.278,1,0.27483428571428603,0.28,0.28,0.014695943,2.4215541407076997,0.202
EAGLE,EAGLE_205.0_1483.0,3609,17.0,0.222,663.291,0.276,1,0.275657142857143,0.35,0.35,0.014695943,2.66614668166117,0.28
EAGLE,EAGLE_205.0_1483.0,3610,18.0,0.214,492.234,0.277,1,0.27648,0.25,0.25,0.014695943,2.38806369631372,0.213
EAGLE,EAGLE_205.0_1483.0,3611,19.0,0.207,511.169,0.273,1,0.277302857142857,0.28,0.28,0.014695943,2.46538178537048,0.215
EAGLE,EAGLE_205.0_1483.0,3612,20.0,0.202,588.971,0.273,1,0.27812571428571403,0.28,0.28,0.014695943,2.53287053458903,0.257
EAGLE,EAGLE_205.0_1483.0,3613,21.0,0.198,503.502,0.274,1,0.278948571428571,0.28,0.28,0.014695943,2.41252985352122,0.16
EAGLE,EAGLE_205.0_1483.0,3614,22.0,0.193,438.461,0.275,1,0.279771428571429,0.22,0.22,0.014695943,2.2987664523197298,0.19
EAGLE,EAGLE_205.0_1483.0,3615,23.0,0.192,601.525,0.275,1,0.280594285714286,0.28,0.28,0.014695943,2.53243609881473,0.245
EAGLE,EAGLE_205.0_1483.0,3616,24.0,0.188,430.564,0.246,1,0.28141714285714303,0.2,0.2,0.014695943,2.2377509515198,0.152
EAGLE,EAGLE_205.0_1483.0,3617,25.0,0.189,627.99,0.278,1,0.28224,0.25,0.25,0.014695943,2.54396094752159,0.312
EAGLE,EAGLE_205.0_1483.0,3618,26.0,0.182,312.693,0.278,1,0.283062857142857,0.28,0.28,0.014695943,2.4568529612954197,0.29669
EAGLE,EAGLE_205.0_1483.0,3619,27.0,0.185,297.786,0.28,1,0.283885714285714,0.25,0.25,0.014695943,2.49341777630726,0.407
EAGLE,EAGLE_205.0_1483.0,3620,28.0,0.18,470.098,0.28,1,0.28470857142857103,0.26,0.26,0.014695943,2.42146757117539,0.203
EAGLE,EAGLE_205.0_1483.0,3621,29.0,0.179,568.464,0.281,1,0.285531428571429,0.2,0.2,0.014695943,2.25192972027503,0.10331
EAGLE,EAGLE_205.0_1483.0,3622,30.0,0.195,676.079,0.282,1,0.286354285714286,0.2,0.2,0.014695943,2.40240088362989,0.23
EAGLE,EAGLE_205.0_1483.0,3623,31.0,0.195,306.461,0.278,1,0.287177142857143,0.25,0.25,0.014695943,2.26823087492965,0.238
EAGLE,EAGLE_205.0_1483.0,3624,32.0,0.1875,429.48,0.278,1,0.288,0.225,0.225,0.014695943,2.32646093451969,0.205
EAGLE,EAGLE_205.0_1483.0,3625,33.0,0.1875,509.186,0.281,1,0.288822857142857,0.225,0.225,0.014695943,2.42044800111221,0.257
EAGLE,EAGLE_205.0_1483.0,3626,34.0,0.1815,464.837,0.277,1,0.289645714285714,0.26,0.26,0.014695943,2.39506949880268,0.18
EAGLE,EAGLE_205.0_1483.0,3627,35.0,0.1815,485.839,0.24,1,0.290468571428571,0.24,0.24,0.014695943,2.31146259359139,0.102
