,period,Unnamed: 0,day,Gas Volume (MMscf),flowrate,Gas Lift Inj Volume  (MMscf),Pressure Source _Tubing Pressure,Casing_Pressure_ksia,Tubing_Pressure_ksia,Active_Pressure_ksia,Line_Pressure_ksia,Calculated_Sandface_Pressure_ksia,water_thousand_bbl
EAGLE,EAGLE_205.0_1483.0,3628,36.0,0.159,464.551,0.278,1,0.291291428571429,0.24,0.24,0.014695943,2.40663616698074,0.205
EAGLE,EAGLE_205.0_1483.0,3629,37.0,0.159,438.761,0.274,1,0.292114285714286,0.22,0.22,0.014695943,2.35639799921823,0.197
EAGLE,EAGLE_205.0_1483.0,3630,38.0,0.1715,441.755,0.278,1,0.292937142857143,0.22,0.22,0.014695943,2.3595229701777196,0.215
EAGLE,EAGLE_205.0_1483.0,3631,39.0,0.1715,518.911,0.28,1,0.29375999999999997,0.3,0.3,0.014695943,2.54200831155742,0.235
EAGLE,EAGLE_205.0_1483.0,3632,40.0,0.1295,375.385,0.28,1,0.294582857142857,0.25,0.25,0.014695943,2.37451715976829,0.17
EAGLE,EAGLE_205.0_1483.0,3633,41.0,0.1295,463.889,0.278,1,0.295405714285714,0.25,0.25,0.014695943,2.4523105048932297,0.209
EAGLE,EAGLE_205.0_1483.0,3634,42.0,0.161,433.506,0.279,1,0.296228571428571,0.25,0.25,0.014695943,2.41658806879552,0.211
EAGLE,EAGLE_205.0_1483.0,3635,43.0,0.161,467.633,0.276,1,0.297051428571429,0.225,0.225,0.014695943,2.37552225416162,0.199
EAGLE,EAGLE_205.0_1483.0,3636,44.0,0.107,494.37,0.273,1,0.297874285714286,0.25,0.25,0.014695943,2.48084747503043,0.201
EAGLE,EAGLE_205.0_1483.0,3637,45.0,0.107,28.339,0.273,1,0.298697142857143,0.0,0.0,0.014695943,1.739345143252005,0.032
EAGLE,EAGLE_205.0_1483.0,3638,46.0,0.194,466.413,0.231,1,0.29952,0.28,0.28,0.014695943,2.44919167392273,0.172
EAGLE,EAGLE_205.0_1483.0,3639,47.0,0.194,548.471,0.277,1,0.30034285714285697,0.25,0.25,0.014695943,2.4276701357760397,0.206
EAGLE,EAGLE_205.0_1483.0,3640,48.0,0.1745,440.088,0.297,1,0.301165714285714,0.26,0.26,0.014695943,2.37079998583725,0.178
EAGLE,EAGLE_205.0_1483.0,3641,49.0,0.1745,466.819,0.301,1,0.301988571428571,0.24,0.24,0.014695943,2.3612573256671197,0.192
EAGLE,EAGLE_205.0_1483.0,3642,50.0,0.1755,473.269,0.3,1,0.302811428571429,0.225,0.225,0.014695943,2.3359743318548998,0.191
EAGLE,EAGLE_205.0_1483.0,3643,51.0,0.1755,465.01,0.298,1,0.303634285714286,0.0,0.0,0.014695943,1.739345143252005,0.209
EAGLE,EAGLE_205.0_1483.0,3644,52.0,0.1635,371.691,0.286,1,0.30445714285714304,0.25,0.25,0.014695943,2.3566765415845197,0.198
EAGLE,EAGLE_205.0_1483.0,3645,53.0,0.1635,516.539,0.296,1,0.30528,0.24,0.24,0.014695943,2.3839699596826,0.183
EAGLE,EAGLE_205.0_1483.0,3646,54.0,0.1375,411.246,0.299,1,0.30610285714285695,0.25,0.25,0.014695943,2.37078489112998,0.175
EAGLE,EAGLE_205.0_1483.0,3647,55.0,0.1375,442.698,0.297,1,0.30692571428571397,0.24,0.24,0.014695943,2.36694487258789,0.175
EAGLE,EAGLE_205.0_1483.0,3648,56.0,0.148,441.39,0.302,1,0.307748571428571,0.25,0.25,0.014695943,2.36800288769041,0.172
EAGLE,EAGLE_205.0_1483.0,3649,57.0,0.148,477.192,0.3,1,0.308571428571429,0.25,0.25,0.014695943,2.43597779261065,0.223
EAGLE,EAGLE_205.0_1483.0,3650,58.0,0.0,0.0,0.0,1,0.309394285714286,0.72,0.72,0.014695943,0.9634884285011771,0.0
EAGLE,EAGLE_205.0_1483.0,3651,59.0,0.152,431.076,0.214,1,0.310217142857143,0.25,0.25,0.014695943,2.40417182301078,0.139
EAGLE,EAGLE_205.0_1483.0,3652,60.0,0.1985,562.959,0.307,1,0.31104000000000004,0.26,0.26,0.014695943,2.24533157903847,0.042
EAGLE,EAGLE_205.0_1483.0,3653,61.0,0.1985,537.68,0.303,1,0.311862857142857,0.3,0.3,0.014695943,2.47641061876104,0.199
EAGLE,EAGLE_205.0_1483.0,3654,62.0,0.182,385.195,0.301,1,0.312685714285714,0.34,0.34,0.014695943,2.43821828539005,0.158
EAGLE,EAGLE_205.0_1483.0,3655,63.0,0.182,463.848,0.301,1,0.31350857142857097,0.32,0.32,0.014695943,2.45414393744976,0.16
EAGLE,EAGLE_205.0_1483.0,3656,64.0,0.2035,461.071,0.297,1,0.314331428571429,0.25,0.25,0.014695943,2.26116236570837,0.127
EAGLE,EAGLE_205.0_1483.0,3657,65.0,0.2035,475.619,0.3,1,0.315154285714286,0.25,0.25,0.014695943,2.34222100458437,0.185
EAGLE,EAGLE_205.0_1483.0,3658,66.0,0.2205,435.149,0.302,1,0.315977142857143,0.3,0.3,0.014695943,2.3652841515424403,0.176
EAGLE,EAGLE_205.0_1483.0,3659,67.0,0.2205,417.019,0.307,1,0.3168,0.28,0.28,0.014695943,2.27543365869059,0.157
EAGLE,EAGLE_205.0_1483.0,3660,68.0,0.238,529.357,0.305,1,0.31762285714285704,0.25,0.25,0.014695943,2.35240071188805,0.208
EAGLE,EAGLE_205.0_1483.0,3661,69.0,0.238,418.848,0.304,1,0.318445714285714,0.3,0.3,0.014695943,2.30518095528753,0.172
EAGLE,EAGLE_205.0_1483.0,3662,70.0,0.225,412.998,0.305,1,0.319268571428571,0.25,0.25,0.014695943,2.2097053916535403,0.166
EAGLE,EAGLE_205.0_1483.0,3663,71.0,0.225,477.339,0.307,1,0.32009142857142897,0.26,0.26,0.014695943,2.33612178548812,0.195
EAGLE,EAGLE_205.0_1483.0,3664,72.0,0.311,387.281,0.31,1,0.320914285714286,0.25,0.25,0.014695943,1.94241529276846,0.148
EAGLE,EAGLE_205.0_1483.0,3665,73.0,0.230682,506.951,0.308,1,0.321737142857143,0.25,0.25,0.014695943,2.3446481581737797,0.208
EAGLE,EAGLE_205.0_1483.0,3666,74.0,0.253318,369.5,0.306,1,0.32256,0.28,0.28,0.014695943,2.08929579857124,0.137
EAGLE,EAGLE_205.0_1483.0,3667,75.0,0.234842,455.852,0.306,1,0.323382857142857,0.25,0.25,0.014695943,2.23338717949896,0.202
EAGLE,EAGLE_205.0_1483.0,3668,76.0,0.240025,366.978,0.306,1,0.324205714285714,0.3,0.3,0.014695943,2.11975477425749,0.141
EAGLE,EAGLE_205.0_1483.0,3669,77.0,0.239081,385.85,0.306,1,0.325028571428571,0.26,0.26,0.014695943,2.08301822685617,0.154
EAGLE,EAGLE_205.0_1483.0,3670,78.0,0.242091,410.015,0.306,1,0.32585142857142896,0.25,0.25,0.014695943,2.1034407110480804,0.162
EAGLE,EAGLE_205.0_1483.0,3671,79.0,0.252269,464.516,0.304,1,0.326674285714286,0.25,0.25,0.014695943,2.17648002174249,0.175
EAGLE,EAGLE_205.0_1483.0,3672,80.0,0.173493,301.727,0.298,1,0.327497142857143,0.2,0.2,0.014695943,1.92128351362598,0.123
EAGLE,EAGLE_205.0_1483.0,3673,81.0,0.1657,385.473,0.299,1,0.32832,0.22,0.22,0.014695943,2.15591696535572,0.145
EAGLE,EAGLE_205.0_1483.0,3674,82.0,0.173301,335.29,0.298,1,0.329142857142857,0.22,0.22,0.014695943,1.99736777727552,0.103
EAGLE,EAGLE_205.0_1483.0,3675,83.0,0.164555,400.08,0.296,1,0.329965714285714,0.22,0.22,0.014695943,2.1986755630899504,0.163
EAGLE,EAGLE_205.0_1483.0,3676,84.0,0.173697,345.666,0.295,1,0.330788571428571,0.2,0.2,0.014695943,1.9730311903695699,0.105
EAGLE,EAGLE_205.0_1483.0,3677,85.0,0.178889,369.792,0.296,1,0.331611428571429,0.3,0.3,0.014695943,2.24500067288831,0.122
EAGLE,EAGLE_205.0_1483.0,3678,86.0,0.221683,454.892,0.299,1,0.33243428571428596,0.58,0.58,0.014695943,2.78290773107228,0.177
EAGLE,EAGLE_205.0_1483.0,3679,87.0,0.201485,284.292,0.292,1,0.333257142857143,0.15,0.15,0.014695943,1.58838416257937,0.077
EAGLE,EAGLE_205.0_1483.0,3680,88.0,0.168762,382.009,0.298,1,0.33408,0.1,0.1,0.014695943,1.7949070177804298,0.113
EAGLE,EAGLE_205.0_1483.0,3681,89.0,0.168433,332.782,0.301,1,0.334902857142857,0.32,0.32,0.014695943,2.25662358585896,0.122
EAGLE,EAGLE_205.0_1483.0,3682,90.0,0.256451,438.117,0.304,1,0.335725714285714,0.22,0.22,0.014695943,1.9858693513462098,0.128
EAGLE,EAGLE_205.0_1483.0,3683,91.0,0.291233,431.314,0.298,1,0.336548571428571,0.26,0.26,0.014695943,2.02312227882474,0.143
EAGLE,EAGLE_205.0_1483.0,3684,92.0,0.279275,377.679,0.297,1,0.33737142857142904,0.24,0.24,0.014695943,1.8915506590519502,0.125
EAGLE,EAGLE_205.0_1483.0,3685,93.0,0.273976,378.747,0.294,1,0.338194285714286,0.22,0.22,0.014695943,1.90449015341932,0.152
EAGLE,EAGLE_205.0_1483.0,3686,94.0,0.245774,344.737,0.295,1,0.339017142857143,0.22,0.22,0.014695943,1.85448333567268,0.12
EAGLE,EAGLE_205.0_1483.0,3687,95.0,0.247485,395.264,0.298,1,0.33984,0.28,0.28,0.014695943,2.0991694518716097,0.135
EAGLE,EAGLE_205.0_1483.0,3688,96.0,0.284141,497.141,0.298,1,0.340662857142857,0.22,0.22,0.014695943,2.0776304030966597,0.168
EAGLE,EAGLE_205.0_1483.0,3689,97.0,0.311162,273.203,0.283,1,0.341485714285714,0.22,0.22,0.014695943,1.5863659029206,0.087
EAGLE,EAGLE_205.0_1483.0,3690,98.0,0.186244,263.053,0.193,1,0.34230857142857096,0.05,0.05,0.014695943,1.4048129836641299,0.092
EAGLE,EAGLE_205.0_1483.0,3691,99.0,0.180745,426.37,0.29,1,0.34313142857142903,0.24,0.24,0.014695943,2.07917431036887,0.132
EAGLE,EAGLE_205.0_1483.0,3692,100.0,0.229993,394.53,0.289,1,0.343954285714286,0.2,0.2,0.014695943,1.84108951674303,0.125
EAGLE,EAGLE_205.0_1483.0,3693,101.0,0.246775,349.889,0.286,1,0.344777142857143,0.22,0.22,0.014695943,1.79914233610427,0.131
EAGLE,EAGLE_205.0_1483.0,3694,102.0,0.330306,435.087,0.29,1,0.3456,0.2,0.2,0.014695943,1.75640415004667,0.151
EAGLE,EAGLE_205.0_1483.0,3695,103.0,0.320739,390.47,0.288,1,0.34642285714285703,0.22,0.22,0.014695943,1.75900156505074,0.147
EAGLE,EAGLE_205.0_1483.0,3696,104.0,0.356946,404.993,0.275,1,0.347245714285714,0.25,0.25,0.014695943,1.8273750181814101,0.158
EAGLE,EAGLE_205.0_1483.0,3697,105.0,0.347481,348.403,0.278,1,0.34806857142857095,0.25,0.25,0.014695943,1.7189887140053999,0.125
EAGLE,EAGLE_205.0_1483.0,3698,106.0,0.279247,401.158,0.278,1,0.348891428571429,0.175,0.175,0.014695943,1.71572900082684,0.135
EAGLE,EAGLE_205.0_1483.0,3699,107.0,0.273444,295.135,0.285,1,0.34971428571428603,0.22,0.22,0.014695943,1.64518193788131,0.112
EAGLE,EAGLE_205.0_1483.0,3700,108.0,0.214961,351.306,0.286,1,0.350537142857143,0.22,0.22,0.014695943,1.84496719990327,0.118
EAGLE,EAGLE_205.0_1483.0,3701,109.0,0.221127,372.698,0.291,1,0.35136,0.23,0.23,0.014695943,1.88942565627685,0.12
EAGLE,EAGLE_205.0_1483.0,3702,110.0,0.227523,351.869,0.291,1,0.352182857142857,0.3,0.3,0.014695943,2.0249800843840102,0.13
EAGLE,EAGLE_205.0_1483.0,3703,111.0,0.23159,356.161,0.29,1,0.35300571428571403,0.25,0.25,0.014695943,1.75028393111265,0.125
EAGLE,EAGLE_205.0_1483.0,3704,112.0,0.201515,317.04,0.281,1,0.35382857142857105,0.2,0.2,0.014695943,1.57970328588457,0.1
EAGLE,EAGLE_205.0_1483.0,3705,113.0,0.193223,335.815,0.291,1,0.354651428571429,0.22,0.22,0.014695943,1.69356043878803,0.12
EAGLE,EAGLE_205.0_1483.0,3706,114.0,0.207786,363.343,0.293,1,0.355474285714286,0.3,0.3,0.014695943,1.8915116032952002,0.12
EAGLE,EAGLE_205.0_1483.0,3707,115.0,0.223072,303.394,0.293,1,0.356297142857143,0.18,0.18,0.014695943,1.48128421388609,0.11
EAGLE,EAGLE_205.0_1483.0,3708,116.0,0.194034,317.171,0.252,1,0.35712,0.12,0.12,0.014695943,1.4157897741659302,0.099
EAGLE,EAGLE_205.0_1483.0,3709,117.0,0.166676,359.507,0.288,1,0.357942857142857,0.18,0.18,0.014695943,1.6336675061538002,0.1
EAGLE,EAGLE_205.0_1483.0,3710,118.0,0.189742,340.026,0.306,1,0.358765714285714,0.25,0.25,0.014695943,1.71846867762953,0.102
EAGLE,EAGLE_205.0_1483.0,3711,119.0,0.193671,142.881,0.307,1,0.35958857142857104,0.18,0.18,0.014695943,1.23631012401042,0.107
EAGLE,EAGLE_205.0_1483.0,3712,120.0,0.204098,376.155,0.298,1,0.360411428571429,0.2,0.2,0.014695943,1.65467141365544,0.11
EAGLE,EAGLE_205.0_1483.0,3713,121.0,0.217263,383.747,0.311,1,0.361234285714286,0.18,0.18,0.014695943,1.60031583940915,0.123
EAGLE,EAGLE_205.0_1483.0,3714,122.0,0.235627,273.979,0.313,1,0.36205714285714297,0.2,0.2,0.014695943,1.4632672297920102,0.117
EAGLE,EAGLE_205.0_1483.0,3715,123.0,0.237884,370.645,0.317,1,0.36288,0.22,0.22,0.014695943,1.6250964286777,0.11
EAGLE,EAGLE_205.0_1483.0,3716,124.0,0.189743,316.73,0.317,1,0.363702857142857,0.2,0.2,0.014695943,1.53797383544534,0.098
EAGLE,EAGLE_205.0_1483.0,3717,125.0,0.168173,285.238,0.285,1,0.364525714285714,0.22,0.22,0.014695943,1.6128140584151298,0.095
EAGLE,EAGLE_205.0_1483.0,3718,126.0,0.168117,312.921,0.292,1,0.365348571428571,0.22,0.22,0.014695943,1.64967527932054,0.097
EAGLE,EAGLE_205.0_1483.0,3719,127.0,0.178162,382.233,0.323,1,0.366171428571429,0.2,0.2,0.014695943,1.68344672560185,0.122
EAGLE,EAGLE_205.0_1483.0,3720,128.0,0.217254,339.937,0.326,1,0.366994285714286,0.18,0.18,0.014695943,1.4890924982515101,0.106
EAGLE,EAGLE_205.0_1483.0,3721,129.0,0.230005,336.502,0.323,1,0.367817142857143,0.2,0.2,0.014695943,1.54446685254361,0.117
EAGLE,EAGLE_205.0_1483.0,3722,130.0,0.206605,252.378,0.268,1,0.36863999999999997,0.0,0.0,0.014695943,1.739345143252005,0.063
EAGLE,EAGLE_205.0_1483.0,3723,131.0,0.175815,383.122,0.29,1,0.369462857142857,0.2,0.2,0.014695943,1.7061818914025701,0.103
EAGLE,EAGLE_205.0_1483.0,3724,132.0,0.141576,301.727,0.316,1,0.370285714285714,0.22,0.22,0.014695943,1.62945162375031,0.095
EAGLE,EAGLE_205.0_1483.0,3725,133.0,0.14081,326.732,0.3,1,0.371108571428571,0.16,0.16,0.014695943,1.53126664737025,0.09
EAGLE,EAGLE_205.0_1483.0,3726,134.0,0.213458,371.635,0.307,1,0.371931428571429,0.24,0.24,0.014695943,1.7104350631474998,0.105
EAGLE,EAGLE_205.0_1483.0,3727,135.0,0.222436,398.413,0.306,1,0.37275428571428604,0.24,0.24,0.014695943,1.7698344231022198,0.125
EAGLE,EAGLE_205.0_1483.0,3728,136.0,0.249545,281.809,0.305,1,0.373577142857143,0.22,0.22,0.014695943,1.4019734421459,0.063
EAGLE,EAGLE_205.0_1483.0,3729,137.0,0.285754,336.437,0.303,1,0.37439999999999996,0.2,0.2,0.014695943,1.5081939711328,0.118
EAGLE,EAGLE_205.0_1483.0,3730,138.0,0.292426,345.39,0.303,1,0.37522285714285697,0.24,0.24,0.014695943,1.5764714703071299,0.1
EAGLE,EAGLE_205.0_1483.0,3731,139.0,0.286692,325.065,0.303,1,0.376045714285714,0.15,0.15,0.014695943,1.3380029813589398,0.104
EAGLE,EAGLE_205.0_1483.0,3732,140.0,0.25025,321.597,0.304,1,0.376868571428571,0.17,0.17,0.014695943,1.4011384433477,0.093
EAGLE,EAGLE_205.0_1483.0,3733,141.0,0.232325,314.933,0.308,1,0.377691428571429,0.21,0.21,0.014695943,1.50841729892205,0.093
EAGLE,EAGLE_205.0_1483.0,3734,142.0,0.211467,304.945,0.306,1,0.378514285714286,0.22,0.22,0.014695943,1.54666512280962,0.093
EAGLE,EAGLE_205.0_1483.0,3735,143.0,0.208876,344.743,0.305,1,0.37933714285714304,0.15,0.15,0.014695943,1.4495589983803099,0.103
EAGLE,EAGLE_205.0_1483.0,3736,144.0,0.168872,276.722,0.311,1,0.38016,0.18,0.18,0.014695943,1.40382976244797,0.073
EAGLE,EAGLE_205.0_1483.0,3737,145.0,0.166751,297.216,0.302,1,0.38098285714285696,0.21,0.21,0.014695943,1.5751301234925699,0.092
EAGLE,EAGLE_205.0_1483.0,3738,146.0,0.180172,331.246,0.306,1,0.38180571428571397,0.21,0.21,0.014695943,1.60840990899463,0.095
EAGLE,EAGLE_205.0_1483.0,3739,147.0,0.178442,312.7,0.308,1,0.382628571428571,0.22,0.22,0.014695943,1.57876931321484,0.083
EAGLE,EAGLE_205.0_1483.0,3740,148.0,0.163655,301.041,0.308,1,0.383451428571429,0.22,0.22,0.014695943,1.61001451156157,0.096
EAGLE,EAGLE_205.0_1483.0,3741,149.0,0.165836,318.926,0.306,1,0.384274285714286,0.22,0.22,0.014695943,1.60343714412688,0.08
EAGLE,EAGLE_205.0_1483.0,3742,150.0,0.187691,316.73,0.309,1,0.385097142857143,0.24,0.24,0.014695943,1.62790231231545,0.087
EAGLE,EAGLE_205.0_1483.0,3743,151.0,0.205123,329.401,0.321,1,0.38592000000000004,0.24,0.24,0.014695943,1.6290681691889999,0.098
EAGLE,EAGLE_205.0_1483.0,3744,152.0,0.244013,313.18,0.313,1,0.386742857142857,0.24,0.24,0.014695943,1.5690004900118,0.098
EAGLE,EAGLE_205.0_1483.0,3745,153.0,0.249536,333.752,0.315,1,0.387565714285714,0.22,0.22,0.014695943,1.5621487892411998,0.109
EAGLE,EAGLE_205.0_1483.0,3746,154.0,0.311159,338.401,0.315,1,0.38838857142857103,0.22,0.22,0.014695943,1.5590140577505398,0.14
EAGLE,EAGLE_205.0_1483.0,3747,155.0,0.309624,384.08,0.315,1,0.389211428571429,0.2,0.2,0.014695943,1.51304060223126,0.108
EAGLE,EAGLE_205.0_1483.0,3748,156.0,0.217918,98.353,0.315,1,0.390034285714286,0.15,0.15,0.014695943,1.01676501650157,0.095
EAGLE,EAGLE_205.0_1483.0,3749,157.0,0.215172,259.3,0.315,1,0.390857142857143,0.18,0.18,0.014695943,1.29054981095924,0.063
EAGLE,EAGLE_205.0_1483.0,3750,158.0,0.250029,324.809,0.324,1,0.39168000000000003,0.1,0.1,0.014695943,1.19936940212344,0.095
EAGLE,EAGLE_205.0_1483.0,3751,159.0,0.247819,292.199,0.326,1,0.392502857142857,0.22,0.22,0.014695943,1.42248289837364,0.075
EAGLE,EAGLE_205.0_1483.0,3752,160.0,0.110682,113.356,0.172,1,0.393325714285714,0.1,0.1,0.014695943,1.3417601022466499,0.021
EAGLE,EAGLE_205.0_1483.0,3753,161.0,0.110287,345.069,0.248,1,0.394148571428571,0.2,0.2,0.014695943,1.80500795458546,0.083
EAGLE,EAGLE_205.0_1483.0,3754,162.0,0.167439,356.235,0.32,1,0.394971428571429,0.15,0.15,0.014695943,1.45651257533272,0.08
EAGLE,EAGLE_205.0_1483.0,3755,163.0,0.166452,283.228,0.322,1,0.395794285714286,0.22,0.22,0.014695943,1.51346801175573,0.077
EAGLE,EAGLE_205.0_1483.0,3756,164.0,0.14932,262.536,0.312,1,0.396617142857143,0.2,0.2,0.014695943,1.43947544544621,0.066
EAGLE,EAGLE_205.0_1483.0,3757,165.0,0.15501,340.068,0.318,1,0.39744,0.18,0.18,0.014695943,1.55354285443498,0.09
EAGLE,EAGLE_205.0_1483.0,3758,166.0,0.165368,326.493,0.321,1,0.398262857142857,0.18,0.18,0.014695943,1.50235593393921,0.085
EAGLE,EAGLE_205.0_1483.0,3759,167.0,0.162188,299.93,0.326,1,0.399085714285714,0.16,0.16,0.014695943,1.4042527750626,0.085
EAGLE,EAGLE_205.0_1483.0,3760,168.0,0.188287,363.263,0.324,1,0.399908571428571,0.22,0.22,0.014695943,1.64529766107614,0.097
EAGLE,EAGLE_205.0_1483.0,3761,169.0,0.19693,289.081,0.326,1,0.40073142857142896,0.2,0.2,0.014695943,1.43747472996224,0.081
EAGLE,EAGLE_205.0_1483.0,3762,170.0,0.23429,349.12,0.332,1,0.401554285714286,0.22,0.22,0.014695943,1.57754119305695,0.108
EAGLE,EAGLE_205.0_1483.0,3763,171.0,0.23614,319.511,0.335,1,0.402377142857143,0.22,0.22,0.014695943,1.50154661147037,0.093
EAGLE,EAGLE_205.0_1483.0,3764,172.0,0.215456,311.811,0.335,1,0.4032,0.2,0.2,0.014695943,1.45400898081225,0.088
EAGLE,EAGLE_205.0_1483.0,3765,173.0,0.217618,298.093,0.337,1,0.404022857142857,0.2,0.2,0.014695943,1.42693652197286,0.087
EAGLE,EAGLE_205.0_1483.0,3766,174.0,0.215244,279.227,0.339,1,0.404845714285714,0.22,0.22,0.014695943,1.42599370101172,0.077
EAGLE,EAGLE_205.0_1483.0,3767,175.0,0.212093,283.268,0.329,1,0.405668571428571,0.11,0.11,0.014695943,1.1742024621901501,0.083
EAGLE,EAGLE_205.0_1483.0,3768,176.0,0.192781,307.48,0.326,1,0.406491428571429,0.1,0.1,0.014695943,1.20424724451365,0.082
EAGLE,EAGLE_205.0_1483.0,3769,177.0,0.191423,293.053,0.326,1,0.40731428571428596,0.13,0.13,0.014695943,1.2701762638703502,0.083
